,winery,country,MTE: winery
252,Château Grand-Puy-Lacoste,France,103.33333333333331
253,Patel,US,103.33333333333331
254,Château Léoville Barton,France,103.33333333333331
255,Mollydooker,Australia,103.0
256,Henschke,Australia,102.89473684210527
257,Bruno Paillard,France,102.66666666666669
258,Kirchmayr,Austria,102.5
259,PharaohMoans,US,102.5
260,Jean Stodden,Germany,100.66666666666669
261,Coomber Family Ranch,US,100.5
262,Château Bellefont-Belcier,France,100.0
263,Morey-Blanc,France,100.0
264,Château Chantelune,France,100.0
265,Barbour,US,100.0
266,Scarecrow,US,100.0
267,Ernesto Camou y Camou,Mexico,100.0
268,Tenute Salvaterra,Italy,100.0
269,Gallica,US,100.0
270,Castello di Radda,Italy,100.0
271,Dark Matter,US,100.0
272,Montepeloso,Italy,100.0
273,Mandois,France,100.0
274,Mathew Bruno,US,100.0
275,Casella,Australia,100.0
276,Lampyridae,US,100.0
277,PerryMoore,US,100.0
278,Skipstone,US,100.0
279,Communication Block,US,100.0
280,El Nido,Spain,99.85714285714286
281,Louis Latour,France,99.64705882352942
282,Eugenio Bocchino,Italy,99.6
283,Domaine Moillard,France,99.41666666666669
284,Val di Suga,Italy,99.4
285,Giuseppe Rinaldi,Italy,99.16666666666669
286,Lafken,Chile,99.0
287,Domaine Jacques Prieur,France,99.0
288,Château Pichon Longueville,France,98.33333333333331
289,Joseph Phelps,US,98.05882352941177
290,Gagliole,Italy,98.0
291,Bruno Rocca,Italy,97.75
292,Massolino,Italy,97.70588235294115
293,Carillon,Italy,97.5
294,Querciabella,Italy,97.0
295,Château Lynch-Bages,France,96.57142857142857
296,Castello di Ama,Italy,96.45
297,Señorío de Caleruega,Spain,96.0
298,Geh. Rat Dr. von Bassermann-Jordan,Germany,96.0
299,Bodegas Conde,Spain,96.0
300,Clarendon Hills,Australia,95.77192982456141
301,Deutz,France,95.6086956521739
302,Goldschmidt,US,95.5135135135135
303,Palmaz,US,95.41666666666669
304,Château Ségur de Cabanac,France,95.0
305,Domaine Louis Carillon,France,95.0
306,Gallo Estate,US,95.0
307,Sabina Vineyards,US,95.0
308,Fourteen Appellations,US,95.0
309,12C Wines,US,95.0
310,Carter,US,95.0
311,Donne Fittipaldi,Italy,95.0
312,Pininfarina,US,95.0
313,Sinatra Family,US,95.0
314,Aiken,US,95.0
315,Château Gazin,France,95.0
316,Domaine Jamet,France,94.85714285714286
317,Achaval-Ferrer,Argentina,94.5625
318,Elio Grasso,Italy,94.5
319,Numanthia,Spain,94.16
320,Billecart-Salmon,France,94.0
321,Château Boswell,US,94.0
322,Janzen,US,94.0
323,Cielo Malibu Estate Vineyards,US,93.8
324,Charles Smith,US,93.38095238095238
325,Coup de Foudre,US,93.1818181818182
326,Calla Lily,US,93.0
327,Château de la Crée,France,93.0
328,Delectus,US,93.0
329,Castelgiocondo,Italy,92.83333333333331
330,Benjamin Romeo,Spain,92.66666666666669
331,Borgogno Giacomo e Figli,Italy,92.57142857142857
332,García Figuero,Spain,92.5625
333,Château Pontet-Canet,France,92.5
334,De Sousa & Fils,France,92.5
335,Provolo,Italy,92.5
336,Alphonse Mellot,France,92.3658536585366
337,Contino,Spain,91.85714285714286
338,Domaine Vincent Girardin,France,91.68421052631581
339,Jasper Hill,Australia,91.66666666666669
340,Château Pavie Macquin,France,91.25
341,Viader,US,91.2
342,Castello del Terriccio,Italy,91.15384615384615
343,Lamborn Family Vineyards,US,91.0
344,Casanova di Neri,Italy,90.93333333333334
345,Luigi Oddero & Figli,Italy,90.8
346,Tenuta di Biserno,Italy,90.6875
347,Tenuta di Sesta,Italy,90.5
348,Monte dall'Ora,Italy,90.1875
349,Domaine Heresztyn,France,90.14285714285714
350,Peller,Canada,90.0
351,Paul de Albas,Spain,90.0
352,Giulio Ferrari,Italy,90.0
353,Marston Family,US,90.0
354,Curto Marco,Italy,90.0
355,Girolate,France,90.0
356,Orma,Italy,90.0
357,Vin Roc,US,90.0
358,Radikon,Italy,90.0
359,Château Haut de la Bécade,France,90.0
360,Nicolas-Jay,US,90.0
361,Galardi,Italy,90.0
362,Hudson Vineyards,US,90.0
363,Clos René,France,90.0
364,Alpha Omega,US,90.0
365,Montevertine,Italy,90.0
366,Aurielle,US,90.0
367,Cavalier Bartolomeo,Italy,90.0
368,Cirillo,Australia,90.0
369,Selendi,Turkey,90.0
370,Evangelo,Greece,90.0
371,Château Cordeillan-Bages,France,90.0
372,PreVail,US,90.0
373,Château Grenouille,France,90.0
374,Chiara Boschis - E. Pira e Figli,Italy,90.0
375,W.S. Keyes,US,90.0
376,Prinz Salm,Germany,89.95238095238096
377,Martin Estate,US,89.9375
378,Domaine Chanson,France,89.66666666666669
379,Château Béhèré Courtin,France,89.66666666666669
380,Jarvis,US,89.47058823529413
381,Royal Tokaji,Hungary,89.025
382,Château la Clide,France,89.0
383,Gosset,France,89.0
384,Domaine Marc Morey,France,88.8
385,Thierry Allemand,France,88.8
386,Silver Oak,US,88.75
387,Dominio de Atauta,Spain,88.54545454545455
388,Chateau Margene,US,88.4
389,Clos Fourtet,France,88.33333333333331
390,Quilceda Creek,US,88.29411764705883
391,Il Poggiolo E. Cosimi,Italy,88.26666666666668
392,Paixar,Spain,88.16666666666669
393,Constant,US,88.0
394,Domaine de la Pousse d'Or,France,88.0
395,Knights Bridge,US,87.85714285714286
396,Boizel,France,87.83333333333331
397,Contratto,Italy,87.72727272727273
398,D.R. Stephens,US,87.70833333333331
399,Arkenstone,US,87.5
400,Alex Gambal,France,87.44444444444444
401,Clos de la Coulée de Serrant,France,87.25
402,Parallel,US,87.2
403,Treasure,US,87.0
404,La Serena,Italy,86.66666666666669
405,Domaine de la Vougeraie,France,86.44444444444444
406,Roche de Bellene,France,86.41666666666669
407,Lisini,Italy,86.36363636363636
408,Carte Blanche,US,86.25
409,Freestone,US,86.15384615384615
410,Château de Suronde,France,86.0
411,Moone-Tsai,US,86.0
412,Clark-Clauden,US,85.83333333333333
413,Pago de los Capellanes,Spain,85.8
414,Gibson's BarossaVale,Australia,85.71428571428571
415,Tom Eddy,New Zealand,85.53846153846153
416,Tom Eddy,US,85.53846153846153
417,Doubleback,US,85.5
418,Tête Brulée,US,85.0
419,Quinta da Devesa,Portugal,85.0
420,Domaine Vincent Dancer,France,85.0
421,Kadiem,US,85.0
422,Kay Brothers,Australia,85.0
423,Lazzeretti,Italy,85.0
424,Shibumi Knoll,US,85.0
425,VGS Chateau Potelle,US,85.0
426,Matriarch,US,85.0
427,Semper,US,85.0
428,Le Carillon de Rouget,France,85.0
429,Mas Doix,Spain,85.0
430,Vineyard 36,US,85.0
431,Schrader,US,85.0
432,Rusden,Australia,85.0
433,The Cave,Israel,85.0
434,Horned Toad,US,85.0
435,Rigg Estate Vineyards,US,85.0
436,Niebaum-Coppola,US,84.8888888888889
437,Pellet Estate,US,84.83333333333333
438,Abadia Retuerta,Spain,84.53846153846153
439,Olivier Leflaive,France,84.50467289719626
440,Joseph Drouhin,France,84.38918918918921
441,Argiano,Italy,84.37037037037038
442,Sherwin Family,US,84.33333333333333
443,Meander,US,84.11764705882355
444,H. Billiot Fils,France,84.0
445,Château Cadet-Bon,France,84.0
446,Chanson Père et Fils,France,83.84705882352941
447,Cupano,Italy,83.77777777777777
448,Rubissow,US,83.75
449,Vranken,France,83.5625
450,Poggio Antico,Italy,83.51351351351352
451,Ca' del Bosco,Italy,83.45833333333333
452,Torbreck,Australia,83.44117647058823
453,Kathryn Hall Vineyards,US,83.33333333333333
454,Le Gode,Italy,83.33333333333333
455,Domaine Michel Bouzereau,France,83.33333333333333
456,Domaine de Chevalier,France,83.25
457,Château Rauzan-Ségla,France,83.0
458,Almaviva,Chile,83.0
459,Château Pierhem,France,83.0
460,Le Salette,Italy,82.82142857142857
461,Leonetti Cellar,US,82.75409836065573
462,The Bridge,US,82.5
463,Cellers Melis,Spain,82.25
464,Giaconda,Australia,82.14285714285714
465,Clark-Claudon,US,82.0
466,Domaine Joseph Belland,France,82.0
467,Ribas de Cabrera,Spain,82.0
468,Clos Solène,US,81.94444444444444
469,Juslyn Vineyards,US,81.85714285714286
470,Del Dotto,US,81.83333333333333
471,Fontodi,Italy,81.55555555555556
