,region_1,country,MTE: region_1
283,Val di Cornia Suvereto,Italy,35.31578947368421
284,Colli di Conegliano,Italy,35.285714285714285
285,Aglianico del Taburno,Italy,35.27272727272727
286,Sancerre,France,35.03669724770642
287,Gaillac Doux,France,35.0
288,Quebec,Canada,35.0
289,Vermont,US,35.0
290,Colline Teramane,Italy,35.0
291,Barossa-Langhorne Creek,Australia,35.0
292,Saint-Croix-du-Mont,France,35.0
293,Maremma,Italy,34.97093023255814
294,Niagara-On-The-Lake,Canada,34.9
295,Trento,Italy,34.8780487804878
296,Carmel Valley,US,34.86813186813187
297,Carneros,US,34.75686813186813
298,Sainte-Foy Bordeaux,France,34.75
299,Red Hills Lake County,US,34.60606060606061
300,Givry,France,34.53333333333333
301,Mendocino Ridge,US,34.51111111111111
302,Marche,Italy,34.413793103448285
303,Valli di Porto Pino,Italy,34.368421052631575
304,Mâcon-Verze,France,34.333333333333336
305,Saint-Péray,France,34.0625
306,El Pomar District,US,34.0
307,Alto Adige Terlano,Italy,34.0
308,McDowell Valley,US,34.0
309,Côte de Beaune-Villages,France,34.0
310,Pouilly-Fumé,France,33.868421052631575
311,Coteaux du Layon,France,33.75
312,North Yuba,US,33.75
313,Rioja,Spain,33.5291932059448
314,Goulburn Valley,Australia,33.5
315,Lake Erie,US,33.333333333333336
316,Roero,Italy,33.32608695652174
317,Moulis-en-Médoc,France,33.30769230769231
318,Livermore Valley,US,33.26546391752577
319,Vino de la Tierra de Castilla y León,Spain,33.213872832369944
320,Tierra de León,Spain,33.09090909090909
321,Canada,Canada,33.0
322,Monterey-Santa Cruz,US,33.0
323,Lombardy,Italy,33.0
324,Columbia Valley-Walla Walla Valley,US,33.0
325,San Benito County,US,32.771929824561404
326,Arroyo Seco,US,32.768953068592054
327,Bennett Valley,US,32.75
328,Malibu-Newton Canyon,US,32.75
329,Alsace,France,32.71689135606661
330,Okanagan Valley,Canada,32.708333333333336
331,Willamette Valley,US,32.70023980815348
332,Lalande de Pomerol,France,32.5625
333,Bourgogne Hautes Côtes de Nuits,France,32.541666666666664
334,Arbois,France,32.5
335,Mount Benson,Australia,32.5
336,Los Carneros,US,32.5
337,Colli Euganei,Italy,32.5
338,Irpinia,Italy,32.486486486486484
339,Margaret River,Australia,32.388663967611336
340,Fronsac,France,32.38095238095238
341,Clare Valley,Australia,32.241106719367586
342,Venezia Giulia,Italy,32.22314049586777
343,Augusta,US,32.21052631578947
344,Yorkville Highlands,US,32.18571428571428
345,Mornington Peninsula,Australia,32.185185185185176
346,Happy Canyon of Santa Barbara,US,32.17977528089887
347,Coonawarra,Australia,32.165775401069524
348,McLaren Vale,Australia,32.129129129129126
349,San Luis Obispo County,US,32.008771929824555
350,Napa-Sonoma-Monterey,US,32.0
351,Alpilles,France,32.0
352,Maremma Toscana,Italy,31.870129870129873
353,Noto,Italy,31.857142857142854
354,Tuscany,Italy,31.85185185185185
355,Valtellina Superiore,Italy,31.777777777777782
356,Sangiovese di Romagna Superiore,Italy,31.777777777777782
357,South Coast,US,31.653846153846153
358,Nebbiolo d'Alba,Italy,31.4
359,Guenoc Valley,US,31.384615384615387
360,Applegate Valley,US,31.253164556962034
361,Pouilly-Loché,France,31.25
362,Valdobbiadene Superiore di Cartizze,Italy,31.228571428571428
363,Carneros-Napa Valley,US,31.125
364,Rosso di Toscana,Italy,31.1
365,Pomino,Italy,31.1
366,Santa Ynez Valley,US,31.095828635851184
367,Jerez,Spain,31.08965517241379
368,Torgiano,Italy,31.05405405405405
369,San Francisco Bay,US,31.04347826086957
370,Snipes Mountain,US,31.031746031746028
371,Mâcon-Vinzelles,France,31.0
372,Campania,Italy,30.923076923076927
373,Rully,France,30.914893617021278
374,Crozes-Hermitage,France,30.9010989010989
375,Cigales,Spain,30.86206896551724
376,St.-Romain,France,30.857142857142854
377,Colli Perugini,Italy,30.8
378,Vin de Pays des Collines Rhodaniennes,France,30.777777777777782
379,Kentucky,US,30.75
380,Bandol,France,30.74468085106383
381,Castel del Monte,Italy,30.72727272727273
382,Maranges,France,30.6
383,Temecula,US,30.57377049180328
384,Carignano del Sulcis,Italy,30.5625
385,South Australia,Australia,30.55791962174941
386,Cahors,France,30.539647577092513
387,Menfi,Italy,30.5
388,Valpolicella Ripasso Classico,Italy,30.5
389,Gippsland,Australia,30.5
390,Empordà,Spain,30.470588235294123
391,Barbera d'Asti Superiore,Italy,30.340206185567013
392,Abruzzo,Italy,30.272727272727273
393,Curtefranca,Italy,30.2
394,Horse Heaven Hills,US,30.155797101449274
395,Fleurieu Peninsula,Australia,30.1
396,Napa-Mendocino-Sonoma,US,30.09090909090909
397,Paso Robles,US,30.03224744981902
398,Napa Valley-Paso Robles,US,30.0
399,Conero Riserva,Italy,30.0
400,Leverano,Italy,30.0
401,Finca Élez,Spain,30.0
402,Mâcon-Milly Lamartine,France,30.0
403,Coteaux du Layon La Faye,France,30.0
404,Valdobbiadene Prosecco Superiore,Italy,30.0
405,Barossa Valley-Clare Valley,Australia,30.0
406,Muscadet Sèvre et Maine Clisson,France,30.0
407,Prince Edward County,Canada,30.0
408,Collines Rhôdaniennes,France,30.0
409,Chignin-Bergeron,France,30.0
410,Dogliani Superiore,Italy,30.0
411,Southern Fleurieu,Australia,30.0
412,Montecucco,Italy,29.93333333333333
413,Prosecco Superiore di Cartizze,Italy,29.907407407407412
414,Cadillac,France,29.66666666666667
415,Dry Creek Valley,US,29.553008595988537
416,Chorey-lès-Beaune,France,29.53333333333333
417,Luján de Cuyo,Argentina,29.51263537906137
418,Rosso Piceno,Italy,29.470588235294123
419,Val di Neto,Italy,29.4
420,Dolcetto di Dogliani Superiore,Italy,29.33333333333333
421,Edna Valley,US,29.322635135135137
422,Aglianico del Vulture,Italy,29.29230769230769
423,Málaga,Spain,29.272727272727273
424,Montescudaio,Italy,29.125
425,Bourgogne Epineuil,France,29.0
426,Fair Play,US,29.0
427,Côtes de Provence La Londe,France,28.91666666666667
428,Yakima Valley,US,28.78065630397237
429,Pouilly-Vinzelles,France,28.777777777777782
430,Lussac Saint-Émilion,France,28.75
431,Humboldt County,US,28.714285714285715
432,Somontano,Spain,28.696969696969692
433,Jurançon,France,28.67857142857143
434,Calchaquí Valley,Argentina,28.627118644067803
435,Suisun Valley,US,28.612903225806452
436,Côtes du Roussillon Villages,France,28.6
437,Wahluke Slope,US,28.560109289617486
438,Columbia Valley (OR),US,28.542056074766354
439,Vin de Liqueur,France,28.5
440,Savennières,France,28.47826086956522
441,Santa Barbara County,US,28.395277989337398
